año,comuna,división,descripción división,empresas
2020,Doce De Octubre,96,Otras actividades de servicios personales,70
2020,Castilla,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",821
2020,Castilla,56,Actividades de servicios de comidas y bebidas,262
2020,Castilla,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",164
2020,Castilla,10,Elaboración de productos alimenticios,123
2020,Castilla,96,Otras actividades de servicios personales,93
2020,Buenos Aires,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",922
2020,Buenos Aires,56,Actividades de servicios de comidas y bebidas,233
2020,Buenos Aires,96,Otras actividades de servicios personales,117
2020,Buenos Aires,10,Elaboración de productos alimenticios,102
2020,Buenos Aires,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,94
2020,Belen,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1883
2020,Belen,56,Actividades de servicios de comidas y bebidas,514
2020,Belen,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",416
2020,Belen,96,Otras actividades de servicios personales,322
2020,Belen,68,Actividades inmobiliarias,319
2020,Aranjuez,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",1111
2020,Aranjuez,56,Actividades de servicios de comidas y bebidas,409
2020,Aranjuez,45,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",178
2020,Aranjuez,96,Otras actividades de servicios personales,136
2020,Aranjuez,10,Elaboración de productos alimenticios,127
2020,Altavista,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",0
2020,Altavista,02,Silvicultura y extracción de madera,0
2020,Altavista,03,Pesca y acuicultura,0
2020,Altavista,05,Extracción de carbón de piedra y lignito,0
2020,Altavista,07,Extracción de minerales metalíferos,0
2019,Villa Hermosa,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",641
2019,Villa Hermosa,56,Actividades de servicios de comidas y bebidas,180
2019,Villa Hermosa,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,116
2019,Villa Hermosa,10,Elaboración de productos alimenticios,60
2019,Villa Hermosa,96,Otras actividades de servicios personales,60
2019,Sin Georreferenciar,47,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",3689
2019,Sin Georreferenciar,56,Actividades de servicios de comidas y bebidas,1209
2019,Sin Georreferenciar,68,Actividades inmobiliarias,1043
2019,Sin Georreferenciar,46,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",700
2019,Sin Georreferenciar,43,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,629
2019,Santa Elena,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",0
