"AÑO","CIIU","Descripción","ALTAVISTA","ARANJUEZ","BELEN","BUENOS AIRES","CASTILLA","DOCE DE OCTUBRE","EL POBLADO","GUAYABAL","LA AMERICA","LA CANDELARIA","LAURELES-ESTADIO","MANRIQUE","PALMITAS","POPULAR","ROBLEDO","SAN ANTONIO DE PRADO","SAN CRISTOBAL","SAN JAVIER","SANTA CRUZ","SANTA ELENA","VILLA HERMOSA","Sin georreferenciar"
"2019","6,613","Otras actividades relacionadas con el mercado de valores","0","1","0","0","0","0","66","3","1","27","11","0","0","0","0","0","0","0","0","0","0","31"
"2019","6,614","Actividades de las casas de cambio","0","0","0","0","0","0","2","0","0","4","2","0","0","1","0","0","0","0","0","0","1","2"
"2019","6,615","Actividades de los profesionales de compra y venta de divisas","0","1","1","0","0","0","27","0","0","14","20","0","0","0","0","0","0","0","0","0","0","2"
"2019","6,619","Otras actividades auxiliares de las actividades de servicios financieros n.c.p.","0","0","6","3","1","0","55","4","1","25","11","1","0","0","0","0","0","0","0","0","0","15"
"2019","6,621","Actividades de agentes y corredores de seguros","0","8","120","27","17","9","292","25","49","104","169","1","0","2","12","0","0","11","4","0","3","233"
"2019","6,629","Evaluación de riesgos y daños, y otras actividades de servicios auxiliares","0","0","5","0","0","0","7","1","1","2","5","0","0","0","1","0","0","0","0","0","0","1"
"2019","6,630","Actividades de administración de fondos","0","0","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"2019","6,810","Actividades inmobiliarias realizadas con bienes propios o arrendados","0","18","239","53","33","7","2,204","182","96","690","475","8","0","2","21","0","0","13","3","0","14","875"
"2019","6,820","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata","0","6","75","16","10","5","329","20","41","132","171","4","0","0","12","0","0","6","0","0","4","168"
"2019","6,910","Actividades jurídicas","0","6","56","8","7","5","306","14","24","221","131","2","0","1","7","0","0","4","1","0","4","101"
"2019","6,920","Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria","0","8","39","9","4","3","115","13","23","62","63","1","0","0","3","0","0","3","1","0","5","71"
"2019","7,010","Actividades de administración empresarial","0","4","57","10","8","2","505","46","32","126","86","1","0","0","7","0","0","8","1","0","4","269"
"2019","7,020","Actividades de consultaría de gestión","0","12","144","42","20","9","554","63","67","208","204","14","0","0","25","0","0","18","5","0","15","343"
"2019","7,110","Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica","0","18","176","35","18","7","390","70","95","116","224","10","0","3","45","0","0","17","3","0","12","295"
"2019","7,120","Ensayos y análisis técnicos","0","4","13","5","5","1","16","12","3","23","20","0","0","0","2","0","0","1","0","0","1","11"
"2019","7,210","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería","0","2","4","3","1","1","24","3","5","7","11","0","0","0","2","0","0","0","0","0","0","13"
"2019","7,220","Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades","0","0","3","2","0","1","15","0","1","3","7","0","0","0","0","0","0","0","0","0","0","9"
"2019","7,310","Publicidad","0","19","120","35","21","8","214","57","68","232","147","10","0","3","27","0","0","14","5","0","12","212"
"2019","7,320","Estudios de mercado y realización de encuestas de opinión pública","0","0","4","3","1","0","11","2","3","3","8","0","0","1","1","0","0","0","0","0","0","10"
